id,mission,magazine,frame,in_sample,icon,icon_label,lap_var,content_lap,mean_lum,clip5_frac,clip250_frac,dark_frac,bright_frac,p50,p95,p99,featureless_frac,tilt_deg,has_horizon,black_frame,underexposed,overexposed,blurry,aimless,dud,crooked,quality
AS11-40-5854,AS11,40,5854,1,0,,121.66555774869745,455.63179354131574,59.75877909757653,0.0,0.0004832987882653061,0.7616240832270408,0.011374960140306123,21.0,223.0,242.0,0.7346938775510204,,0,0,1,0,0,0,1,0,-2.375077762480032
AS11-40-5855,AS11,40,5855,1,0,,149.67837420981013,433.3252803012613,84.07669503348214,0.0,0.00021424585459183673,0.0,0.0012456154336734694,42.0,225.0,231.0,0.6581632653061225,-3.333850661536574,1,0,0,0,0,0,0,0,-0.4289929743870422
AS11-40-5856,AS11,40,5856,1,0,,281.71514091666467,560.5345134686451,96.46219806281887,0.0,0.0001096141581632653,1.992984693877551e-05,0.0006825972576530613,36.0,217.0,224.0,0.5,5.826342029555775,1,0,0,0,0,0,0,0,-0.15252081312651675
AS11-40-5857,AS11,40,5857,1,0,,375.3658375181987,656.4176497184956,107.90196010044643,0.0,8.470184948979592e-05,2.491230867346939e-05,0.0007971938775510204,41.0,217.0,227.0,0.42857142857142855,-11.650299437537667,1,0,0,0,0,0,0,1,0.017084346825788743
AS11-40-5858,AS11,40,5858,1,0,,525.4198632335374,809.9536739256889,94.22588986766581,0.0,4.982461734693877e-06,0.0004434390943877551,0.00034877232142857144,47.0,200.0,217.0,0.3520408163265306,13.033356325913843,1,0,0,0,0,0,0,1,0.2428356315045222
AS11-40-5859,AS11,40,5859,1,0,,328.10949815861244,831.3489151346802,72.24830098054846,0.0,0.00047831632653061223,4.982461734693877e-06,0.0033980389030612247,36.0,210.0,232.0,0.6071428571428571,3.3018656744350032,1,0,0,0,0,0,0,0,0.27083978007546833
AS11-40-5860,AS11,40,5860,1,0,,404.6334451382878,908.6907706121455,76.65167111766581,0.0,0.00341796875,0.0,0.009476642219387755,43.0,215.0,240.0,0.5561224489795918,12.59332995610312,1,0,0,0,0,0,0,1,0.3663854309529097
AS11-40-5861,AS11,40,5861,1,0,,395.0440107294541,1029.707718912082,69.78131975446429,0.0,7.473692602040816e-05,4.48421556122449e-05,0.0006427375637755102,31.0,208.0,225.0,0.6173469387755102,6.968256741378544,1,0,0,0,0,0,0,0,0.5006735455389992
AS11-40-5862,AS11,40,5862,1,0,,338.0366344828995,458.493803129106,42.13341039540816,0.0,0.0001793686224489796,0.2914341517857143,0.00045838647959183676,28.0,104.0,156.0,0.2653061224489796,0.0,1,0,0,0,0,0,0,0,-0.3683520875469815
AS11-40-5863,AS11,40,5863,1,0,,310.08873494728465,493.19042184075676,55.82815489477041,0.0,0.00011957908163265306,0.10728734853316327,0.0005231584821428571,40.0,141.0,168.0,0.37244897959183676,,0,0,0,0,0,0,0,0,-0.28999901093044417
